 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 30 824 5 1 ZTF_g 452415171715 0 2.1428 89.8722 11.5634 26.2792 1.35333e-05 0.0359927 -0.094005 2.54898e-05 640 30. 0.045984 0.047169 19.7652 26.2792 1 2458206.9151736 824120117 68.7742275124523 48.2191571778895 1.58657609698111 0.909556665799613 256.901277036428 89.9949202987117 2.87384577995745 1.03927046389583 null null null null null 2458203.893137 2458231.971505 57
 31 824 5 1 ZTF_g 452416091715 0 2.0625 89.2576 11.5654 26.2697 1.45277e-05 0.0373178 -0.0961666 2.72788e-05 640 30. 0.04412 0.046306 19.7673 26.2697 2 2458206.9160995 824120117 31.7958762791418 47.1297682254323 0.750464745982634 0.924674384435936 48.969288184786 88.7460703820777 0.555507403831032 1.03867626964913 null null null null null 2458203.893137 2458231.971505 57
 32 824 5 1 ZTF_g 452434371715 0 1.9117 90.462 11.2631 26.2685 1.09792e-05 0.0328713 -0.0772079 2.02071e-05 652 30. 0.040119 0.045838 19.911 26.2685 2 2458206.934375 824120117 5.66441274620815 40.1209086616102 0.157050358488992 0.947298822608094 142.477738754836 77.9726405826787 1.83958544241808 1.04074729473046 null null null null null 2458203.893137 2458231.971505 57
 33 824 5 1 ZTF_g 453323981715 0 2.6388 83.3932 15.4553 26.2071 2.56309e-05 0.0417579 -0.110641 5.88126e-05 489 30. 0.065896 0.054483 19.1833 26.2071 2 2458207.8239815 824120117 -13.7378484680852 68.1272441686455 -0.224312100003831 1.02396462134144 -51.4916458659053 116.079005941793 -0.446578988532804 1.04011071839481 null null null null null 2458203.893137 2458231.971505 57
 34 824 5 1 ZTF_g 453345061715 0 2.4468 84.8754 14.8611 26.218 1.8876e-05 0.0375772 -0.110765 4.18156e-05 537 30. 0.048854 0.050618 19.2981 26.218 2 2458207.8450694 824120117 13.2528436894921 67.4289269979656 0.218633963548791 0.969241198828548 255.023846090103 119.936142388366 2.14065119365719 1.04036055977912 null null null null null 2458203.893137 2458231.971505 57
 35 824 5 1 ZTF_g 453367471715 0 2.1067 86.8245 14.2973 26.233 1.78727e-05 0.0393653 -0.0807147 3.64258e-05 591 30. 0.04172 0.047814 19.4802 26.233 2 2458207.8674769 824120117 -40.2912580024983 62.3445434168478 -0.718897841828541 0.967399040851191 -195.720043828133 117.096308016724 -1.68270232359425 1.04262974652339 null null null null null 2458203.893137 2458231.971505 57
 36 824 5 1 ZTF_g 453394461715 0 2.0007 88.1512 13.8149 26.2345 1.67104e-05 0.0385139 -0.0704705 3.40805e-05 603 30. 0.043705 0.046413 19.5637 26.2345 2 2458207.8944676 824120117 15.2451673132077 53.2178281581859 0.31866168577024 1.08359614562325 173.971218679284 100.559914159412 1.74167735036908 1.04752811015271 null null null null null 2458203.893137 2458231.971505 57
 37 824 5 1 ZTF_g 453416191715 0 1.9022 89.4497 13.4516 26.2364 1.31541e-05 0.0345908 -0.0572536 2.58619e-05 615 30. 0.04197 0.045612 19.6584 26.2364 2 2458207.9161921 824120117 -40.2428769794883 52.2331641587316 -0.857032886076929 0.957782012775476 48.1705773711923 98.2544632742218 0.493565456115012 1.052311047474 null null null null null 2458203.893137 2458231.971505 57
 38 824 5 1 ZTF_g 453417191715 0 2.1625 89.5381 13.3658 26.2478 1.45169e-05 0.0354642 -0.0631498 2.97527e-05 592 30. 0.042152 0.047962 19.5818 26.2478 2 2458207.9171991 824120117 28.1259903599495 54.9441963655012 0.569430596785403 0.989358588719857 143.055934991709 98.7797626155096 1.45798512905088 1.05399018797165 null null null null null 2458203.893137 2458231.971505 57
 39 824 5 1 ZTF_g 454379131715 0 1.9971 51.3689 22.801 25.6638 5.00155e-05 0.0404821 -0.0509082 0.000140726 290 30. 0.044466 0.046491 18.4465 25.6638 2 2458208.8791319 824120117 -56.5502166882213 106.403348157241 -0.591199122142504 1.02355494701682 64.2859907342552 193.039340665595 0.335263062738349 1.0647212577353 null null null null null 2458203.893137 2458231.971505 57
