reqId,ra,dec,startJD,endJD,created,started,ended,machine,exitcode,lightcurve
1745108,241.8473002,13.8926829,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:09:51,2024-06-07 14:24:50,13,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745108_lc.txt
1745109,240.276152,19.4502142,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:11:03,2024-06-07 14:25:06,1,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745109_lc.txt
1745110,145.7009482,-3.6070618,2458194.5,2460468.101,2024-06-06 14:27:20,2024-06-07 14:11:16,2024-06-07 14:27:02,6,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745110_lc.txt
1745111,129.5440776,25.1015202,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:11:23,2024-06-07 14:24:46,3,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745111_lc.txt
1745112,72.7672714,-5.9569289,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:11:23,2024-06-07 14:28:19,12,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745112_lc.txt
1745113,249.9783812,37.1823169,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:11:38,2024-06-07 14:54:26,5,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745113_lc.txt
1745114,96.7203877,-24.6147976,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:11:55,2024-06-07 14:18:02,4,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745114_lc.txt
1745115,24.102259,22.0498539,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:12:05,2024-06-07 14:30:58,7,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745115_lc.txt
1745116,160.8756455,19.0829515,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:12:16,2024-06-07 14:21:30,4,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745116_lc.txt
1745117,19.5191585,14.5537051,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:12:51,2024-06-07 14:37:26,6,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745117_lc.txt
1745118,186.6344307,31.4283424,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:13:18,2024-06-07 14:17:35,8,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745118_lc.txt
