#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59708o0181o,170.4280907,34.3583146,>19.95,0.0,3.0,o,22.194,59708.31573355,8635.48,1705.42,180.0,179.0,5.3,11.1,177.4,-980.1,881.7,1.08,2.77,2.58,1.0,3.0,-0.4807,9.460935679103196,19.814412460008583,18.95,30.0
02a59710o0099o,170.4280907,34.3583146,>19.84,0.0,3.0,o,22.11,59710.28088545,424.38,5301.36,179.0,178.9,13.6,18.5,173.3,-3147.7,1102.8,1.25,2.21,1.97,1.0,3.0,-0.4357,15.330494140872101,20.853981000451018,18.8,30.0
02a59710o0101o,170.4280907,34.3583146,>19.75,0.0,3.0,o,22.111,59710.28179905,10378.4,5328.76,208.0,179.6,13.5,19.3,180.4,-793.0,1115.9,0.89,2.27,2.01,1.0,3.0,-0.4277,15.816647231390428,22.611947523395205,18.85,30.0
02a59710o0120o,170.4280907,34.3583146,>19.82,0.0,3.0,o,22.114,59710.29078615,403.87,5262.3,136.0,185.2,-5.4,17.0,184.9,-880.0,1109.5,0.99,2.34,2.08,1.0,3.0,-0.4277,-6.730257760427265,21.187848505048798,18.8,30.0
02a59710o0122o,170.4280907,34.3583146,>19.75,0.0,3.0,o,22.115,59710.29169955,10358.6,5289.93,177.0,184.4,-26.2,17.2,180.9,-2675.1,1134.4,1.02,2.39,2.15,1.0,3.0,-0.4267,-34.41092899474206,22.59038086677722,18.8,30.0
02a59710o0135o,170.4280907,34.3583146,>19.42916212285158,0.0,1.43,o,22.114,59710.29802415,461.37,5337.73,205.0,180.7,26.4,18.4,172.0,-3048.5,975.9,0.78,2.23,1.94,1.0,3.0,-0.4327,29.381182116975285,20.47779359667974,18.84,30.0
02a59710o0137o,170.4280907,34.3583146,>19.91,0.0,3.0,o,22.124,59710.29893765,10417.0,5369.74,149.0,175.8,-12.9,18.6,175.7,1510.1,986.5,0.9,2.17,1.91,1.0,3.0,-0.4307,-13.603214827741338,19.61393765860379,18.91,30.0
02a59710o0144o,170.4280907,34.3583146,>19.89,0.0,3.0,o,22.113,59710.30222285,481.17,5220.97,219.0,182.3,-9.0,18.4,178.7,-677.3,1135.1,1.14,2.19,1.93,1.0,3.0,-0.4347,-9.813019877594625,20.06217397197123,18.84,30.0
02a59710o0146o,170.4280907,34.3583146,>19.362289491106658,0.0,1.24,o,22.115,59710.30313595,10436.8,5254.0,207.0,178.4,22.6,18.2,181.8,3489.6,966.7,0.83,2.3,2.03,1.0,3.0,-0.4317,27.095118726289893,21.81996286807416,18.85,30.0
01a59711o0142o,170.4280907,34.3583146,>19.65,0.0,3.0,o,22.203,59711.29936655,8689.37,1620.69,172.0,183.4,-11.6,15.6,182.6,-1227.0,1094.5,0.97,2.67,2.53,1.0,3.0,-0.4997,-19.753702874968607,26.56532455599227,18.67,30.0
01a59711o0149o,170.4280907,34.3583146,>19.57,0.0,3.0,o,22.178,59711.30258485,8711.52,1660.71,159.0,177.2,-5.8,16.3,178.6,-654.8,1146.9,1.01,2.68,2.53,1.0,3.0,-0.4997,-10.144766467999647,28.51029197041281,18.59,30.0
