objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, st, st_err, Tmax, Tmax_err, EBVhost, EBVhost_err, hostMass, hostMass_err
2006eq, 322.154708, 1.228194, 0.0495, 0.050307745190173, 980.56, 1029.51, CSP, 36.49868759106652, 0.035444480119136056, 0.6374053491119499, 0.0135251862986795, 979.4230735280689, 0.2713020742575164, 0.17463333997360894, 0.019361783134718154, 10.120574709522273, 0.002816689517966661
2009aa, 170.926167, -22.270694, 0.0273, 0.02838471050486957, 1868.77, 1956.66, CSP, 35.252517788270346, 0.01079551562737613, 0.9029461748133321, 0.004050152769254244, 1878.8447865826815, 0.0288941993126669, 0.07741479025613833, 0.0037099787007234437, 0.0, 0.0
2008hj, 1.007958, -11.16875, 0.0379, 0.03907228231180393, 1794.58, 1834.55, CSP, 35.92152910810245, 0.011396377247163953, 1.0098306830441495, 0.006141556612438327, 1801.9299908036794, 0.045137692452081046, 0.049501828081438604, 0.0034979653672783245, 10.973017153863509, 0.002418117405834231
2006ax, 171.014417, -12.291444, 0.0167, 0.015672995929417732, 815.64, 891.5, CSP, 34.30299371748071, 0.01015768215814374, 0.9920082187141334, 0.004423487729920752, 827.5866545905715, 0.028882502548401186, 0.011356308495317834, 0.003219243278534263, 0.0, 0.0
2009D, 58.595125, -19.181722, 0.025, 0.02478595014368734, 1834.67, 1890.52, CSP, 35.06976710721694, 0.015302333999682166, 1.1890090484440219, 0.008183834016054086, 1841.2560946644394, 0.05739616142303649, 0.0026606054966562044, 0.005835058808922289, 10.288567554002853, 0.000981265532668124
2008gl, 20.228417, 4.805306, 0.034, 0.03475679026955314, 1765.7, 1844.55, CSP, 35.637965049168926, 0.009625723506644469, 0.8512520820235447, 0.004272297701266557, 1768.6334569631001, 0.05419317690902986, 0.08787914180041385, 0.003946395936507182, 11.359976556285138, 0.0066667387890840925
2007A, 6.319417, 12.886806, 0.0177, 0.016496737471354272, 1107.53, 1133.53, CSP, 34.13778037231508, 0.014121913495152153, 1.0185665104241797, 0.010131592907291652, 1113.4464904506628, 0.05881650798254568, 0.2504002076688199, 0.0041570762670991015, 6.774565304332999, 0.07187074108120962
2008ar, 186.158, 10.838167, 0.0261, 0.02605529201834944, 1527.79, 1627.59, CSP, 35.16436154114437, 0.018189241284258507, 0.9737021600111102, 0.006820050291422723, 1535.127019322293, 0.06056209598393776, 0.10407296012524467, 0.0060382474575561935, 10.102752183811647, 0.001262498820507511
2006X, 185.724958, 15.809194, 0.0052, 0.0040843593634616315, 775.68, 906.46, CSP, 30.00172298126599, 0.04103155008201378, 0.9539367154834011, 0.014214170877271476, 786.934560552478, 0.13479543962086554, 1.252232365618087, 0.01347481000837791, 0.0, 0.0
2006ej, 9.749042, -9.015722, 0.0205, 0.021625840906948524, 979.74, 1046.74, CSP, 34.71555412356396, 0.016564615773877685, 0.8245282722310827, 0.004606095096776976, 976.7565878473996, 0.15152969207978498, 0.03111753110001137, 0.005760944623862718, 10.279706103453293, 0.0008070475039513622
2005eq, 47.205458, -7.03325, 0.029, 0.030072620816649298, 647.8, 751.66, CSP, 35.58948942452371, 0.018974088735818927, 1.2441820172693416, 0.009122877523679872, 654.5304864816217, 0.12167746104365706, -0.005551715990354093, 0.0074416806725767694, 11.032511457537016, 0.0010013614597814862
2008gg, 21.346, -18.172444, 0.032, 0.03202328872416227, 1753.63, 1827.57, CSP, 35.443452610993376, 0.037230275633812, 1.138861262197139, 0.016631142491813456, 1749.3544636647205, 0.19265340249621385, 0.11744875146540454, 0.012688053780622108, 11.850745409234504, 0.0015379705707240455
2004ey, 327.282542, 0.444222, 0.0158, 0.016114658420313788, 295.53, 358.55, CSP, 34.034238345449964, 0.006207079365980908, 1.009387920944695, 0.002960549497959888, 304.71661936253884, 0.02298658073036222, 0.018362837528159915, 0.0018498504277883673, 10.56345194549921, 0.0015268614043546201
2007ux, 152.33325, 14.992444, 0.0309, 0.031141172305609865, 1466.82, 1558.61, CSP, 35.664431464618374, 0.016776173514089505, 0.6042906025601712, 0.008070550903575908, 1467.3186201915753, 0.08773254586949039, 0.06748218730804942, 0.010308295359696514, 10.222315389325127, 0.0013786653578807876
2005W, 27.690708, 21.759833, 0.0089, 0.01008269876118173, 404.54, 429.51, CSP, 32.62789476791551, 0.014198036856476753, 0.9251754682408762, 0.00940090659150771, 412.59961870920375, 0.05100156969982294, 0.22941008179107245, 0.005350892290388321, 0.0, 0.0
2007on, 54.712083, -35.575, 0.0065, 0.006204821844733033, 1410.73, 1508.61, CSP, 31.584850752280303, 0.017936743156442347, 0.5791615534697774, 0.006511735019948908, 1420.4750216028876, 0.042223406895129344, -0.032757254746272384, 0.010222424641443132, 0.0, 0.0
2005ku, 344.927542, 0.013694, 0.0454, 0.04654023095098103, 699.56, 739.53, CSP, 36.15356735134297, 0.054647236474376054, 0.9563540892532212, 0.03598166174797941, 699.3265588793479, 0.5729929002144599, 0.19503196452344423, 0.01859781213472099, 7.895610204112348, 0.07249326233311687
2008fu, 45.61875, -24.455972, 0.052, 0.051184656502414105, 1737.84, 1817.67, CSP, 36.759938225812455, 0.029595336576480193, 0.8225571211118751, 0.008919275564725356, 1732.7943153439303, 0.36075760930346507, -0.001361312317602722, 0.014651385627252515, 10.667201822306131, 0.0020460918125516864
