# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- HUBBLE RESID STD: 0.12958548329063316
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 0), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.00551355667549669 +/- 0.036976974635761585
# Avg. 'x1': -0.8959520376324503 +/- 0.26954806175496693
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2006ob, 27.9506, 0.263312, 0.0586, 0.0576, nan, nan, PanPlus, 37.0548, 0.1271, 0.00119967, 3.1281e-05, -2.15642, 0.10276, 54063.809, 0.12, -0.0187404, 0.0257373, -0.09, nan, 11.0302, 0.18
2007nq, 14.38987, -1.38861, 0.04389, 0.04275, nan, nan, PanPlus, 36.2753, 0.1273, 0.00252919, 6.78527e-05, -1.90021, 0.0486324, 54398.938, 0.106, -0.0217338, 0.0234159, 0.83, nan, 11.1165, 0.16
2005ki, 160.117584, 9.20233, 0.01946, 0.02066, nan, nan, PanPlus, 34.6186, 0.1505, 0.0138085, 0.000353843, -1.46647, 0.0311434, 53705.77, 0.055, -0.0806869, 0.0228144, 0.3, nan, 11.0605, 0.01
2005be, 224.886337, 16.669889, 0.03356, 0.03417, nan, nan, PanPlus, 35.8538, 0.1359, 0.00438188, 0.000160284, -1.85041, 0.0591335, 53460.176, 0.233, -0.0997396, 0.026293, 0.05, nan, 10.4979, 0.12
2007ba, 229.177628, 7.39661, 0.03805, 0.03863, nan, nan, PanPlus, 35.7802, 0.1305, 0.00179006, 5.0573e-05, -2.26543, 0.063555, 54197.594, 0.074, 0.27201, 0.0243234, 10.95, nan, 11.1077, 0.0
2006ev, 322.746918, 13.98922, 0.02873, 0.02759, nan, nan, PanPlus, 35.6865, 0.1383, 0.00344679, 0.00018392, -1.32965, 0.0744247, 53989.98, 0.264, 0.0936496, 0.0267317, 2.63, nan, 11.3017, 0.12
2008bz, 189.740585, 11.1295, 0.06015, 0.0613, nan, nan, PanPlus, 37.2339, 0.1194, 0.0015358, 3.55827e-05, -0.469439, 0.058303, 54579.805, 0.01, -0.109046, 0.0226983, 0.25, nan, 10.3562, 0.0
2005bo, 192.420959, -11.09647, 0.0139, 0.01503, nan, nan, PanPlus, 33.8786, 0.1753, 0.0126327, 0.000400518, -1.12248, 0.12114, 53479.277, 0.155, 0.22175, 0.0232478, 0.4, nan, 7.89478, 0.01
2005na, 105.40258, 14.13325, 0.02664, 0.02717, nan, nan, PanPlus, 35.1467, 0.1371, 0.00983919, 0.000422671, -0.437141, 0.031174, 53741.191, 0.06, -0.0982257, 0.0226706, 2.2, nan, 8.83614, 0.04
2004ef, 340.541748, 19.99456, 0.03101, 0.02978, nan, nan, PanPlus, 35.5076, 0.1336, 0.00417775, 0.000139705, -1.41747, 0.0227794, 53264.719, 0.026, 0.0794121, 0.0219621, 0.49, nan, 10.3255, 0.02
2005iq, 359.635406, -18.709169, 0.03404, 0.03292, nan, nan, PanPlus, 35.9311, 0.1329, 0.00453293, 0.00010038, -1.15666, 0.0434751, 53688.285, 0.045, -0.101908, 0.0220831, 0.36, nan, 10.49, 0.17
2004gs, 129.596573, 17.62772, 0.0274, 0.02829, nan, nan, PanPlus, 35.6023, 0.1362, 0.00316933, 8.08975e-05, -1.88974, 0.0319929, 53356.52, 0.059, 0.12539, 0.0228648, 0.54, nan, 10.7301, 0.01
2006ej, 9.74904, -9.01572, 0.02038, 0.01926, nan, nan, PanPlus, 34.6283, 0.1533, 0.0118508, 0.000357938, -1.51786, 0.0463201, 53976.609, 0.213, -0.0190717, 0.0263432, 0.45, nan, 10.1949, 0.16
2008fu, 45.618752, -24.455971, 0.05202, 0.05146, nan, nan, PanPlus, 36.7772, 0.1263, 0.00199908, 7.45702e-05, -1.60807, 0.0705673, 54733.258, 0.29, -0.117091, 0.0277268, -0.09, nan, 10.4054, 0.04
2005mc, 126.776497, 21.646, 0.02515, 0.02597, nan, nan, PanPlus, 35.2608, 0.1407, 0.00352569, 0.000124032, -1.92419, 0.0504796, 53731.629, 0.201, 0.20231, 0.02518, -0.02, nan, 10.5777, 0.05
