# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- NUM TARGETS: 1513
# Avg. 'c': -0.008497671095836087 +/- 0.037995761070720425
# Avg. 'x1': -0.08243076693919366 +/- 0.2914902035029742
# Avg. 'x0': 0.008616161355039656 +/- 0.00036897059947937867
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2008gl, 20.228420, 4.805310, 0.03354, 0.03246, nan, nan, PanPlus, 35.7047, 0.1369, 4.08067e-03, 0.000113066, -1.24526e+00, 0.17188, 54768.082, 0.164, 2.88567e-02, 0.0247742, 0.33, nan, 11.13110, 0.002
2008Y, 169.877365, 54.462830, 0.06965, 0.07028, nan, nan, PanPlus, 37.3481, 0.1552, 9.14272e-04, 6.54084e-05, -3.09680e-01, 0.52759, 54502.980, 1.275, 8.74056e-02, 0.0411232, 0.83, nan, 10.54400, 0.004
2009al, 162.841965, 8.578530, 0.02207, 0.02328, nan, nan, PanPlus, 35.0362, 0.146, 6.52489e-03, 0.000214498, 0.22615, 0.15108, 54897.035, 0.009, 0.16193, 0.0277445, -0.02, nan, 10.77060, 0.002
2009an, 185.697495, 65.851250, 0.00922, 0.00956, nan, nan, PanPlus, 33.4215, 0.2167, 3.30853e-02, 0.00208057, -1.33260e+00, 0.2342, 54897.258, 0.73, 2.32732e-02, 0.0428939, 0.02, nan, 10.51170, 0.002
2009ee, 170.355423, 34.339809, 0.03549, 0.03645, nan, nan, PanPlus, 36.1000, 0.1443, 2.49574e-03, 0.000153216, -2.09104e+00, 0.24941, 54953.637, 0.056, 3.56791e-02, 0.0503791, 0.04, nan, 10.85820, 0.002
2009eu, 247.171371, 39.553471, 0.02983, 0.02991, nan, nan, PanPlus, 35.9120, 0.1524, 1.80321e-03, 7.47127e-05, -1.98982e+00, 0.20993, 54984.480, 0.19, 0.22744, 0.0384179, 6.30, nan, 11.62890, 0.002
2009fv, 247.434250, 40.811611, 0.02934, 0.02941, nan, nan, PanPlus, 35.4411, 0.1385, 3.81173e-03, 9.08254e-05, -7.69936e-01, 0.11831, 54994.676, 0.226, 0.17208, 0.0224216, 0.48, nan, 11.49590, 0.002
2009hp, 44.599831, 6.593080, 0.02101, 0.02031, nan, nan, PanPlus, 34.9393, 0.2055, 8.66780e-03, 0.0014349, -1.77376e+00, 0.24524, 55036.879, 1.171, -2.34281e-02, 0.0688974, 2.26, nan, 11.01710, 0.002
2009ig, 39.548370, -1.312530, 0.00922, 0.00845, nan, nan, PanPlus, 32.8699, 0.2475, 9.53184e-02, 0.00303059, 1.07147, 0.0664986, 55080.590, 0.05, -5.69327e-02, 0.0256228, 0.00, nan, 10.20400, 0.002
2009kq, 129.062881, 28.067141, 0.01169, 0.01247, nan, nan, PanPlus, 33.6533, 0.1905, 3.43634e-02, 0.00117416, -1.42421e-01, 0.0682591, 55155.324, 0.098, -2.42427e-02, 0.0266468, 0.11, nan, 7.75299, 0.003
2010ao, 205.920792, 3.900030, 0.02320, 0.02417, nan, nan, PanPlus, 35.0115, 0.1506, 1.03741e-02, 0.000347158, -4.34738e-01, 0.13354, 55289.117, 0.173, -6.38684e-02, 0.0311283, 0.04, nan, 8.81300, 0.003
