# Created by M.D. Woods -- 2024-12-18 10:43:39.545308 -- NUM TARGETS: 304
# Avg. 'c': -0.004389964154605264 +/- 0.034337753815789476
# Avg. 'x0': 0.003279092799342105 +/- 0.00010683052467105264
# Avg. 'x1': -0.11439973888157896 +/- 0.24672374506578948
objname, ra, dec, z, z_cmb, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, hostMass, hostMass_err
2019xvx, 213.037, -4.120411, 0.05450, 0.05542, ATLAS_NORM, 37.10743, 0.11979, 1.73734e-03, 6.58906e-05, 0.65123, 0.23035, 58853.4023, 0.1663, -4.91047e-02, 0.0291066, 9.495614978139532, 0.00822411872001338
2019ycb, 184.702667, 5.737611, 0.04603, 0.04724, ATLAS_NORM, 36.71676, 0.11627, 1.31213e-03, 4.0253e-05, 0.34690, 0.20337, 58850.7344, 0.0717, 0.19935, 0.0248937, 9.608546400748367, 0.003775645074153557
2019yfu, 191.401498428, 1.18360934272, 0.08450, 0.08572, ATLAS_NORM, 38.19572, 0.17149, 7.49116e-04, 3.31892e-05, 0.85994, 0.61416, 58849.5898, 0.9552, -1.04385e-01, 0.0441232, 9.85378694065725, 0.005650025132756442
2019ywf, 44.676167, 32.573011, 0.03972, 0.03905, ATLAS_NORM, 36.19619, 0.12421, 3.18961e-03, 0.000120271, -7.64155e-01, 0.17606, 58856.1172, 0.1703, -3.05305e-02, 0.0245326, 9.95380507125972, 0.004395518536668056
2020aai, 152.991262889, -1.95169505239, 0.04526, 0.04651, ATLAS_NORM, 36.29798, 0.12264, 2.15861e-03, 5.97996e-05, -2.56797e+00, 0.23935, 58873.0156, 0.1959, -6.29998e-03, 0.0255227, 10.578749542645056, 0.0017127069609638617
2020aar, 32.405325571429, 15.295854957143, 0.04363, 0.04271, ATLAS_NORM, 36.22675, 0.11889, 2.64740e-03, 6.5864e-05, -1.91292e+00, 0.19361, 58875.3164, 0.1354, -2.78314e-02, 0.0226194, 10.656723655067713, 0.0022106137070480947
2020aczg, 150.277875, 54.789569, 0.02506, 0.02563, ATLAS_NORM, 35.32622, 0.1248, 8.94953e-03, 0.000125866, 0.19651, 0.0753173, 59217.2930, 0.0769, -7.34042e-02, 0.0114574, 8.999598395421277, 0.007690716350573131
2020bpu, 71.91388492, -14.64837688, 0.04153, 0.04144, ATLAS_NORM, 36.37582, 0.12128, 2.54875e-03, 0.000118339, -1.02963e+00, 0.26058, 58891.9453, 0.1661, -2.06760e-02, 0.0311761, 10.061138549977786, 0.002085728558181713
2020bqz, 234.76485744, 31.19842962, 0.05396, 0.05431, ATLAS_NORM, 36.77717, 0.12753, 1.24555e-03, 5.35889e-05, -1.36981e+00, 0.26585, 58894.0586, 0.2753, 0.10408, 0.0329621, 10.324470910621883, 0.002073886838970334
2020buy, 196.043619928, -4.53443620916, 0.09037, 0.09156, ATLAS_NORM, 38.22848, 0.1606, 7.45076e-04, 4.43219e-05, 0.78248, 0.45058, 58887.0430, 0.2318, -1.18866e-01, 0.0555737, 8.983832493108123, 0.03439593617416904
2020cli, 247.986216708, 14.0442381041, 0.05351, 0.05369, ATLAS_NORM, 36.94756, 0.12347, 1.66783e-03, 4.5232e-05, -4.39749e-01, 0.23803, 58902.2148, 0.1152, -3.08738e-02, 0.0269734, 10.021337950396738, 0.0031164532008992295
2020clq, 68.356542, -4.265831, 0.01502, 0.01483, ATLAS_NORM, 33.87684, 0.1648, 3.10611e-02, 0.000824554, -1.68149e+00, 0.16493, 58906.7617, 0.1326, -1.38528e-01, 0.0228746, 10.126404472652691, 0.0006376362980663559
2020cot, 158.898527022, 22.6406374755, 0.09815, 0.09932, ATLAS_NORM, 38.44550, 0.15675, 5.14324e-04, 1.42611e-05, 0.40733, 0.50671, 58902.0508, 0.5051, -6.86994e-02, 0.0375204, 10.571233687867135, 0.0038727995706029144
2020cpn, 107.880367149, 58.9515789126, 0.08016, 0.08036, ATLAS_NORM, 37.76938, 0.14963, 8.39443e-04, 2.93771e-05, 0.31142, 0.48722, 58901.9570, 0.3813, -1.89596e-02, 0.0349222, 11.12427700223662, 0.003031336655228269
2020cvn, 108.405, 42.781181, 0.04736, 0.04773, ATLAS_NORM, 36.72465, 0.12221, 1.97921e-03, 7.07329e-05, 0.75406, 0.24405, 58912.5469, 0.2908, 4.84785e-02, 0.0266337, 10.50317472464623, 0.0023713934451536746
2020cvw, 119.482958, 30.026939, 0.05103, 0.05170, ATLAS_NORM, 36.86097, 0.12182, 1.75862e-03, 6.75661e-05, -9.66466e-02, 0.26311, 58911.2539, 0.1863, -1.05831e-03, 0.0286076, 9.924841708479672, 0.003142656617920473
2020cxx, 48.08175, 41.28225, 0.03090, 0.03033, ATLAS_NORM, 35.37708, 0.13163, 8.05006e-03, 0.00033397, 0.85846, 0.25594, 58916.3047, 0.1988, -1.27907e-02, 0.0308655, 9.256105310132012, 0.004311917571359003
2020ddk, 93.2479958, 48.1585003, 0.08057, 0.08069, ATLAS_NORM, 37.70610, 0.16042, 8.29174e-04, 5.43255e-05, -9.93533e-01, 0.59959, 58907.9688, 0.5012, -6.10434e-02, 0.0518491, 9.972594489831357, 0.008174082279800121
2020dhj, 223.37659252, 17.2891396457, 0.04417, 0.04482, ATLAS_NORM, 36.40614, 0.11517, 3.40703e-03, 0.000104322, 2.85796e-03, 0.14474, 58919.1289, 0.07, -9.59402e-02, 0.0227448, 9.877067607420221, 0.0017293554591827245
2020dxr, 176.106189182, 53.5715556249, 0.05525, 0.05588, ATLAS_NORM, 36.74070, 0.13363, 1.49198e-03, 7.09927e-05, -9.82768e-01, 0.21485, 58925.7617, 0.2156, 6.44181e-02, 0.0394854, 10.015913559131583, 0.004508601657165764
2020eci, 230.812067754, 0.0649405664894, 0.07092, 0.07151, ATLAS_NORM, 37.68762, 0.14293, 1.48203e-03, 9.55203e-05, 0.14235, 0.37987, 58919.8047, 0.2964, -2.32279e-01, 0.0493029, 10.779046268332815, 0.003316401940561933
2020ees, 201.813292, 32.033619, 0.02438, 0.02518, ATLAS_NORM, 35.41902, 0.12881, 7.53882e-03, 0.000192683, 0.69942, 0.0892629, 58927.8633, 0.102, -1.03108e-02, 0.0195405, 10.782332728916026, 0.0006157907316533342
2020fxa, 233.637667, 37.533831, 0.06423, 0.06456, ATLAS_NORM, 37.25277, 0.10967, 1.58753e-03, 2.57346e-05, 0.83494, 0.14948, 58958.5586, 0.1318, -5.71446e-02, 0.0143492, 10.019235170193774, 0.003999005600585814
