# Created by M.D. Woods -- 2024-12-13 12:46:37.127385 -- HUBBLE RESID STD: 0.18085991177428387
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 3.2), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.01044533231640625 +/- 0.02987041234375
# Avg. 'x1': -0.029012013945312505 +/- 0.2419791515625
objname, ra, dec, z, z_cmb, origin, mu, mu_err, x1, x1_err, t0, t0_err, c, c_err, hostMass, hostMass_err
2020lsc, 243.515625, 14.282639, 0.03029, 0.03056, ATLAS_NORM, 35.30145, 0.11991, -0.231036, 0.0676105, 59017.8086, 0.0858, 0.0409466, 0.0110244, 12.389625341698197, 0.0016364725552315653
2020may, 185.995625, 48.35525, 0.05336, 0.05406, ATLAS_NORM, 36.75848, 0.11446, 1.81743, 0.24901, 59024.8711, 0.1528, -0.0150574, 0.0237752, 10.252105468625496, 0.001650368654198952
2020mbf, 305.886333, 19.7111, 0.04735, 0.0464, ATLAS_NORM, 36.14383, 0.11276, -0.305342, 0.13061, 59020.0664, 0.1146, 0.0390089, 0.0202918, 11.544984935720198, 0.00148300531385098
2020mby, 269.96866088333, 50.490919833333, 0.05387, 0.05357, ATLAS_NORM, 37.02852, 0.11427, -0.300017, 0.15022, 59023.0938, 0.1275, -0.0968122, 0.0164941, 10.178063809291245, 0.0017136304046825074
2020mdd, 237.974188375, 34.07338725, 0.04878, 0.04906, ATLAS_NORM, 36.95362, 0.11479, -1.41088, 0.15018, 59016.6523, 0.1395, -0.183104, 0.0186633, 10.041735258282941, 0.0034636396790919946
2020mnv, 250.182625, 40.414481, 0.02589, 0.02591, ATLAS_NORM, 35.18898, 0.12911, -0.445795, 0.0658854, 59028.2852, 0.0906, 0.0237749, 0.0192683, 9.79951891187255, 0.0023515622716593063
2020mnw, 224.087811528, 9.33607126839, 0.08078, 0.08148, ATLAS_NORM, 37.92442, 0.13251, 0.079364, 0.35949, 59020.293, 0.3102, -0.0573683, 0.0310691, 10.818869940788804, 0.0020532819825030244
2020ndv, 347.408741833, 12.8300018913, 0.03742, 0.03614, ATLAS_NORM, 36.10574, 0.1151, 0.62495, 0.0950654, 59034.293, 0.0932, -0.0869422, 0.0129484, 9.88154088792619, 0.0033695732972041535
2020nef, 229.99642286, 20.7131538, 0.04095, 0.04146, ATLAS_NORM, 36.48975, 0.11494, -0.300626, 0.15233, 59029.0156, 0.1248, -0.165117, 0.0196136, 10.675924392768149, 0.0010973574145933993
2020nin, 276.527708, 30.222531, 0.06157, 0.06113, ATLAS_NORM, 37.48647, 0.11798, -0.422588, 0.23264, 59033.6992, 0.1801, 0.0093284, 0.0255698, 9.58777175584347, 0.007970580756578591
