#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59624o0123o,45.8799816666667,27.6821929166667,>19.75,0.0,3.0,o,22.198,59624.25801625,9594.2,2459.2,175.0,173.8,-13.1,13.4,173.3,64.2,1038.7,1.42,2.81,2.53,1.0,3.0,-0.4987,-23.564426904169075,24.104070268386693,18.72,30.0
01a59624o0130o,45.8799816666667,27.6821929166667,>19.75,0.0,3.0,o,22.196,59624.26125095,9614.21,2497.07,167.0,173.5,-21.8,13.2,172.5,852.5,1027.5,1.32,2.85,2.52,1.0,3.0,-0.5007,-39.761305897215,24.07565311207514,18.7,30.0
01a59624o0144o,45.8799816666667,27.6821929166667,>19.6,0.0,3.0,o,22.193,59624.26771245,9557.48,2424.61,168.0,176.5,2.5,14.1,175.6,-133.1,1037.0,1.34,2.99,2.58,1.0,3.0,-0.4997,4.90670161108723,27.67379708653197,18.66,30.0
01a59624o0169o,45.8799816666667,27.6821929166667,>19.61,0.0,3.0,o,22.189,59624.27925665,9542.94,2546.2,244.0,176.9,0.0,14.9,168.2,-1866.6,1018.9,1.15,2.91,2.48,1.0,3.0,-0.5137,0.0,27.81568013167846,18.69,30.0
02a59625o0003o,45.8799816666667,27.6821929166667,>19.22,0.0,3.0,o,22.117,59625.24685355,427.33,10488.0,74.0,163.4,-71.4,22.7,183.1,4416.8,1482.5,1.82,2.7,2.36,1.0,3.0,-0.4317,-116.60917538136658,37.073225226288805,18.69,30.0
02a59625o0004o,45.8799816666667,27.6821929166667,>19.77,0.0,3.0,o,22.118,59625.24731035,3013.04,223.99,154.0,183.0,-10.5,14.6,180.0,756.0,910.0,1.46,2.6,2.29,1.0,3.0,-0.4417,-16.1568567577876,22.465724634637994,18.76,30.0
02a59625o0007o,45.8799816666667,27.6821929166667,>15.6,0.0,3.0,o,22.121,59625.24868135,10323.3,10537.8,-1229.0,63.9,112.4,700.8,-1283.9,-347186.0,36032.9,0.01,2.54,2.27,1.0,3.0,-0.4427,167.1801191144766,1042.3472195322524,18.75,30.0
02a59625o0016o,45.8799816666667,27.6821929166667,>19.77,0.0,3.0,o,22.115,59625.25280735,2995.8,181.75,159.0,181.4,-14.3,14.7,181.3,581.9,1077.7,1.25,2.63,2.25,1.0,3.0,-0.4527,-22.15302559883154,22.772690650547105,18.74,30.0
02a59625o0022o,45.8799816666667,27.6821929166667,>19.47,0.0,3.0,o,22.118,59625.25561655,411.57,10448.4,154.0,177.9,-36.8,20.2,204.2,10984.7,1252.5,1.43,2.54,2.23,1.0,3.0,-0.4497,-54.26816585444418,29.78850408314599,18.78,30.0
02a59625o0023o,45.8799816666667,27.6821929166667,>16.24,0.0,3.0,o,22.12,59625.25607375,10304.0,10498.5,211.0,142.1,-14.8,427.7,166.9,6769.6,19314.5,0.0,2.47,2.12,1.0,3.0,-0.4397,-19.955070886243945,576.6745823004414,18.83,30.0
